lat,lon,dist_1,dist_2,dist_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
-8.05938987804878,-34.950157945205476,1.7778388595854249,0.9393775077906591,0.9648189352918958,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.94995602739726,1.7805181888507042,0.9252067771107316,0.9845601441656618,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.949754109589044,1.783471279410711,0.9113593194475093,1.0044065519609051,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.949552191780825,1.7866967738299857,0.8978500923534609,1.0243520441331602,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.949350273972605,1.7901931996917986,0.8846945902391632,1.0443909438389092,8.0,4.0,4.0,4.0,4.0,0.0
-8.05938987804878,-34.949148356164386,1.7939589728611884,0.8719088244314462,1.0645179760720298,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05938987804878,-34.948946438356174,1.7979924009494883,0.859509295300952,1.0847282349703034,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05938987804878,-34.94874452054795,1.8022916869674903,0.8475129555110734,1.1050171540131746,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05938987804878,-34.94854260273973,1.8068549331449888,0.8359371634719509,1.1253804788326929,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05938987804878,-34.94834068493151,1.8116801448997741,0.8247996261224559,1.145814242435775,8.0,4.0,5.0,4.0,3.0,-1.0
-8.05938987804878,-34.94813876712329,1.8167652349428487,0.8141183302776821,1.1663147425777134,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05938987804878,-34.94793684931507,1.8221080274903976,0.8039114619166643,1.1868785211200013,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05938987804878,-34.94773493150685,1.8277062625794889,0.7941973129961651,1.2075023451706275,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05938987804878,-34.94753301369863,1.8335576004519076,0.7849941756497585,1.2281831898554465,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05938987804878,-34.94733109589041,1.839659626006264,0.7763202239417434,1.2489182225635846,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05938987804878,-34.94712917808219,1.8460098532820308,0.7681933837661308,1.2697047885292565,8.0,3.0,5.0,5.0,3.0,-2.0
-8.05938987804878,-34.94692726027397,1.852605729978892,0.7606311918969589,1.2905403976374177,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05938987804878,-34.946725342465754,1.8594446419728827,0.7536506457075749,1.3114227123262099,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05938987804878,-34.94652342465753,1.8665239178353847,0.7472680455684172,1.3323495365103295,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05938987804878,-34.94632150684932,1.873840833319816,0.7414988324636279,1.3533188053883944,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05938987804878,-34.946119589041096,1.8813926158200869,0.7363574238269524,1.3743285761265454,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05938987804878,-34.94591767123288,1.8891764487687173,0.731857051048598,1.3953770192513677,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05938987804878,-34.94571575342466,1.8971894759829018,0.7280096023937159,1.416462410763418,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05938987804878,-34.94551383561644,1.9054288059265845,0.7248254753036285,1.437583124869375,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05938987804878,-34.94531191780822,1.9138915158931304,0.7223134420629037,1.4587376272894068,8.0,3.0,6.0,5.0,2.0,-3.0
-8.05922975609756,-34.95985,1.9508939078716367,1.8140253494588017,0.482880990755009,8.0,8.0,2.0,0.0,6.0,6.0
-8.05922975609756,-34.959648082191784,1.941124392743739,1.7935187190053885,0.4733935028917226,8.0,8.0,2.0,0.0,6.0,6.0
-8.05922975609756,-34.95944616438357,1.931561945759781,1.7730543063381383,0.4647789914284918,8.0,8.0,2.0,0.0,6.0,6.0
