lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.05955,-34.94874452054795,-90.04390165631467,-90.79514963297565,-90.83743105590064,-95.11335403726704,-78.37788260869564,-81.46994720496889,-91.61788888888876,-91.29223992094857,-95.85750000000006
-8.05955,-34.94854260273973,-89.64126811594203,-90.75530773574242,-90.61556770186337,-95.06971428571426,-76.93383913043473,-81.00869254658377,-91.61310628019312,-91.16949499341233,-95.85750000000006
-8.05955,-34.94834068493151,-89.32035921325051,-90.61805985319019,-90.47486128364389,-95.02542857142853,-76.61636521739125,-80.07328260869558,-91.55241787439608,-91.04696772068503,-95.85750000000006
-8.05955,-34.94813876712329,-90.131685300207,-90.11209599096541,-91.32305175983437,-94.85635817805384,-79.98922608695648,-78.32936956521735,-91.39453623188399,-92.10137167325415,-95.85750000000006
-8.05955,-34.94793684931507,-90.17299792960655,-89.97369621682651,-91.45600910973087,-94.80592753623189,-79.82065217391299,-77.47213664596269,-91.18984057971005,-92.16070513833978,-95.85750000000006
-8.05955,-34.94773493150685,-90.17299792960655,-89.97369621682651,-91.45600910973087,-94.80592753623189,-79.82065217391299,-77.47213664596269,-91.18984057971005,-92.16070513833978,-95.85750000000006
-8.05955,-34.94753301369863,-91.88529813664593,-88.89427893845277,-93.62350062111796,-94.87018840579711,-80.38416956521736,-78.71476708074535,-91.58547826086944,-92.0217517786561,-95.85750000000006
-8.05955,-34.94733109589041,-91.90634679089023,-88.85620440429128,-93.6575130434782,-94.87676811594204,-80.39249999999997,-78.82624534161492,-91.58365217391292,-92.00281264822131,-95.85750000000006
-8.05955,-34.94712917808219,-92.18636335403725,-89.12787351778645,-94.87878426501032,-95.18994202898558,-81.73169565217385,-77.42618012422366,-91.70000966183567,-91.02879367588926,-95.85750000000006
-8.05955,-34.94692726027397,-91.93135662525887,-88.22953133822685,-94.94123229813658,-95.95605797101454,-80.68320000000001,-77.58540372670818,-92.62672705314003,-91.18102924901177,-95.85750000000006
-8.05955,-34.946725342465754,-91.70135973084889,-87.27202484472036,-92.75055900621105,-95.83842028985511,-78.63086086956523,-74.72686645962736,-89.38970772946867,-90.44358260869552,-95.92606521739137
-8.05955,-34.94652342465753,-90.32693115942034,-84.7430417843026,-90.8670648033125,-90.91589855072468,-73.75900000000003,-66.18471118012415,-89.14582608695657,-89.57038893280625,-96.14408695652175
-8.05955,-34.94632150684932,-91.58511438923406,-84.23804968944096,-92.05367701863348,-92.49540579710158,-75.44447826086954,-66.2904968944099,-90.28307246376818,-90.53261185770737,-95.85750000000006
-8.05955,-34.946119589041096,-92.4515056935819,-89.54238509316767,-92.7969440993788,-92.81286956521737,-82.07443478260865,-69.04878260869572,-90.2652028985508,-90.1823636363636,-95.85750000000006
-8.05955,-34.94591767123288,-92.4515056935819,-89.54238509316767,-92.7969440993788,-92.81286956521737,-82.07443478260865,-69.04878260869572,-90.2652028985508,-90.1823636363636,-95.85750000000006
-8.05955,-34.94571575342466,-92.4515056935819,-89.54238509316767,-92.7969440993788,-92.81286956521737,-82.07443478260865,-69.04878260869572,-90.2652028985508,-90.1823636363636,-95.85750000000006
-8.05955,-34.94551383561644,-92.4515056935819,-89.54238509316767,-92.7969440993788,-92.81286956521737,-82.07443478260865,-69.04878260869572,-90.2652028985508,-90.1823636363636,-95.85750000000006
-8.05955,-34.94531191780822,-92.4515056935819,-89.54238509316767,-92.7969440993788,-92.81286956521737,-82.07443478260865,-69.04878260869572,-90.2652028985508,-90.1823636363636,-95.85750000000006
-8.05938987804878,-34.95985,-85.49008695652172,-99.89597515527934,-84.8256894409938,-95.66353623188404,-98.44741304347836,-86.1112173913043,-83.46128985507244,-85.63050434782609,-64.68382608695654
-8.05938987804878,-34.959648082191784,-85.49008695652172,-99.89597515527934,-84.8256894409938,-95.66353623188404,-98.44741304347836,-86.1112173913043,-83.46128985507244,-85.63050434782609,-64.68382608695654
-8.05938987804878,-34.95944616438357,-85.23038509316771,-99.932906832298,-84.57536645962733,-95.66353623188404,-98.44741304347836,-86.05062111801239,-82.86399999999996,-85.57182608695649,-64.7193043478261
-8.05938987804878,-34.959244246575345,-86.16250931677017,-99.99356521739107,-83.67454658385095,-95.52236231884056,-98.44741304347836,-84.56757763975149,-85.78299999999994,-84.47714782608695,-64.70869565217397
-8.05938987804878,-34.959042328767126,-87.4287826086956,-99.80412422360232,-88.3553664596273,-95.39997101449279,-97.90373913043486,-85.98689440993786,-87.34857971014483,-84.25314782608693,-65.81791304347824
-8.05938987804878,-34.958840410958906,-88.94718012422354,-99.58673291925457,-87.47505590062106,-95.4289710144928,-97.7904565217392,-86.28839751552786,-87.26078260869551,-84.1553217391304,-66.12330434782605
-8.05938987804878,-34.958638493150694,-87.89217391304342,-99.50795031055898,-89.15070807453401,-96.05336231884071,-95.09158695652164,-87.95132919254645,-87.16814492753612,-82.70090434782611,-64.52173913043474
-8.05938987804878,-34.95843657534247,-89.25190062111794,-99.43811180124226,-90.62900621117998,-96.32939130434798,-93.61284782608683,-89.97772670807448,-86.60250724637672,-81.41146086956526,-66.01
-8.05938987804878,-34.95823465753425,-89.81375155279498,-99.4053291925466,-91.19404968944086,-96.34494202898561,-92.8474999999999,-90.74663354037264,-87.29959420289845,-79.2650434782609,-66.70695652173913
