38.17,93.25,15.3,11.88,42.13,12.81
9.73,93.25,62.89,0.94,83.07,32.98
78.74,116.27,16.96,18.38,104.99,55.36
89.03,59.28,15.74,19.59,92.82,65.89
21.8,83.9,9.43,2.79,83.71,138.73
19.55,89.89,124.93,59.45,81.69,24.8
17.35,116.27,42.21,30.51,104.99,123.49
165.2,93.25,23.06,23.76,83.07,118.92
30.99,93.25,90.5,37.89,42.13,72.49
68.78,83.9,13.18,47.74,83.71,11.99
15.62,93.25,4.09,16.9,42.13,3.46
29.41,59.28,2.97,11.94,92.82,5.15
23.73,30.59,36.4,42.68,104.36,12.66
46.21,93.25,70.13,125.88,83.07,34.58
18.69,83.9,37.17,75.57,83.71,149.98
61.45,83.9,24.69,6.16,83.71,20.81
131.56,71.28,49.62,16.75,124.19,30.42
6.62,116.27,69.26,55.24,104.99,20.52
21.23,78.9,31.6,13.68,72.88,70.29
24.72,21.4,57.44,15.76,88.28,40.29
9.43,59.28,18.44,67.26,84.77,37.79
15.87,93.25,34.29,24.59,83.07,27.01
7.76,30.59,97.5,79.95,104.36,3.27
52.18,116.27,45.2,38.77,64.27,58.37
27.61,30.59,35.41,6.94,104.36,15.36
6.35,116.27,14.71,6.32,64.27,19.54
4.12,83.9,42.09,21.42,83.71,74.63
28.92,93.25,23.08,24.06,42.13,113.68
37.18,116.27,27.55,102.51,64.27,18.93
11.72,71.28,36.75,43.8,124.19,79.43
20.83,83.9,76.21,105.29,83.71,9.49
82.0,78.9,87.8,34.2,72.88,67.21
87.38,21.4,30.02,125.3,88.28,58.35
22.31,59.28,26.43,52.89,84.77,18.98
7.28,21.4,97.65,61.4,88.28,7.01
33.68,93.25,32.44,85.74,42.13,15.98
13.47,78.9,85.37,63.78,72.88,57.15
12.45,78.9,17.76,12.05,72.88,64.77
62.98,71.28,4.65,23.98,124.19,136.1
33.97,71.28,153.52,88.63,124.19,147.61
54.04,71.28,40.51,84.29,124.19,15.93
68.7,21.4,20.94,6.87,88.28,65.93
6.78,83.9,83.51,6.21,83.71,20.71
126.09,30.59,19.13,28.04,104.36,87.88
36.08,78.9,47.39,80.43,72.88,6.34
12.9,78.9,72.97,133.22,72.88,136.52
6.66,78.9,4.3,5.35,72.88,35.27
7.57,78.9,18.73,74.12,72.88,146.06
20.57,78.9,40.43,29.47,72.88,21.59
11.56,59.28,23.3,133.78,92.82,58.81
7.23,116.27,7.97,26.1,104.99,132.87
44.6,59.28,13.58,19.74,92.82,8.96
125.12,93.25,22.05,90.64,83.07,3.28
23.2,71.28,21.53,16.63,124.19,31.21
44.76,78.9,25.37,29.63,72.88,104.31
35.86,71.28,18.92,46.35,124.19,10.95
47.69,78.9,69.88,84.46,72.88,12.01
30.58,89.89,24.66,31.92,81.69,34.32
33.61,30.59,57.69,36.92,104.36,40.2
23.83,30.59,88.02,27.68,104.36,11.91
10.04,89.89,7.36,30.36,81.69,19.62
102.32,116.27,40.21,5.57,64.27,144.45
16.03,59.28,32.82,53.88,92.82,46.99
9.51,78.9,10.31,12.55,72.88,13.84
91.52,59.28,85.07,153.67,92.82,24.69
41.12,71.28,22.58,57.3,124.19,11.18
31.4,30.59,28.5,19.07,104.36,50.98
2.48,89.89,17.97,60.44,81.69,8.46
23.67,71.28,118.52,10.7,124.19,13.18
29.44,116.27,58.75,7.6,64.27,2.83
172.5,78.9,15.63,23.73,72.88,77.25
4.08,71.28,83.95,4.22,124.19,134.13
3.02,89.89,112.29,49.8,32.13,49.35
17.49,78.9,28.49,9.76,72.88,62.31
63.73,89.89,53.5,0.65,81.69,82.45
29.43,78.9,16.37,12.9,72.88,57.46
30.37,89.89,27.53,60.27,81.69,41.81
101.84,116.27,44.98,23.31,104.99,18.56
63.68,93.25,10.86,31.04,83.07,34.0
0.9,59.28,62.17,18.94,92.82,80.28
9.91,83.9,1.88,22.18,83.71,51.62
26.96,83.9,61.51,59.3,96.42,7.86
95.41,83.9,19.32,24.41,83.71,19.99
19.47,78.9,20.3,24.89,72.88,9.4
6.51,71.28,19.31,7.35,124.19,105.46
12.72,89.89,113.09,53.72,32.13,79.23
81.03,89.89,8.71,79.18,81.69,90.77
55.56,78.9,8.61,61.03,72.88,27.07
34.27,71.28,14.56,10.61,124.19,37.56
28.92,78.9,17.53,129.54,72.88,18.0
44.38,59.28,14.31,72.44,92.82,11.96
10.69,116.27,2.56,32.26,64.27,8.81
38.29,78.9,23.5,24.06,72.88,22.58
16.66,21.4,36.19,33.52,88.28,121.27
18.36,59.28,77.28,7.72,92.82,10.94
14.68,30.59,145.46,38.86,107.34,6.24
18.04,30.59,60.39,82.57,104.36,31.25
111.06,59.28,48.56,5.65,92.82,24.02
4.16,89.89,44.08,2.15,81.69,30.5
