lat_pred,lon_pred,idx
-8.05922975609756,-34.946119589041096,6621.0
-8.050423048780488,-34.95480205479452,8748.0
-8.047700975609756,-34.94531191780822,9415.0
-8.047220609756097,-34.95399438356164,9363.0
-8.047060487804877,-34.94531191780822,9555.0
-8.046900365853658,-34.95056178082192,9535.0
-8.052184390243902,-34.95985,7865.0
-8.04962243902439,-34.9546001369863,8875.0
-8.048981951219512,-34.95742698630137,9093.0
-8.047060487804877,-34.94753301369863,9515.0
-8.055707073170732,-34.959042328767126,7003.0
-8.047220609756097,-34.94531191780822,9545.0
-8.055546951219512,-34.95480205479452,7108.0
-8.04658012195122,-34.95056178082192,9486.0
-8.055226707317075,-34.953590547945204,7335.0
-8.048501585365852,-34.959648082191784,9131.0
-8.054426097560977,-34.956417397260275,7529.0
-8.054906463414634,-34.95783082191781,7429.0
-8.055707073170732,-34.956417397260275,7019.0
-8.053465365853658,-34.94874452054795,7813.0
-8.051864146341464,-34.94834068493151,8269.0
-8.052184390243902,-34.94773493150685,8019.0
-8.053625487804878,-34.948946438356174,7483.0
-8.052344512195122,-34.94692726027397,7944.0
-8.055707073170732,-34.95500397260274,6956.0
-8.052344512195122,-34.94692726027397,7871.0
-8.052344512195122,-34.95540780821918,7919.0
-8.051383780487804,-34.95520589041096,8467.0
-8.051704024390245,-34.949148356164386,8315.0
-8.054265975609756,-34.95944616438357,7816.0
-8.050583170731707,-34.953388630136985,8651.0
-8.04962243902439,-34.953590547945204,8834.0
-8.048661707317072,-34.95056178082192,9063.0
-8.04674024390244,-34.95056178082192,9443.0
-8.05618743902439,-34.95742698630137,6917.0
-8.05266475609756,-34.953388630136985,7855.0
-8.052024268292682,-34.94692726027397,7916.0
-8.05634756097561,-34.95682123287671,6838.0
-8.052344512195122,-34.95540780821918,7867.0
-8.050102804878048,-34.95056178082192,8780.0
-8.050423048780488,-34.954196301369855,8690.0
-8.053625487804878,-34.955811643835624,7753.0
-8.055707073170732,-34.956417397260275,7350.0
-8.057948780487804,-34.95116753424658,6721.0
-8.051223658536586,-34.94773493150685,8585.0
-8.055386829268294,-34.956215479452055,7204.0
-8.048181341463414,-34.959042328767126,9239.0
-8.055226707317075,-34.95379246575342,7354.0
-8.058589268292682,-34.949552191780825,6692.0
-8.055707073170732,-34.95500397260274,6948.0
-8.053625487804878,-34.949148356164386,7701.0
-8.051704024390245,-34.94874452054795,8281.0
-8.051704024390245,-34.94652342465753,8189.0
-8.05650768292683,-34.94652342465753,6882.0
-8.055546951219512,-34.95520589041096,7116.0
-8.051223658536586,-34.95056178082192,8552.0
-8.052024268292682,-34.957023150684925,8244.0
-8.055546951219512,-34.9546001369863,7083.0
-8.05314512195122,-34.94652342465753,7796.0
-8.051543902439024,-34.94773493150685,8368.0
-8.048341463414634,-34.94692726027397,9303.0
-8.05602731707317,-34.95056178082192,6829.0
-8.052024268292682,-34.946725342465754,7962.0
-8.056667804878048,-34.95520589041096,7146.0
-8.048181341463414,-34.959042328767126,9327.0
-8.055546951219512,-34.9546001369863,6999.0
-8.055546951219512,-34.9546001369863,7057.0
-8.050423048780488,-34.95056178082192,8793.0
-8.052024268292682,-34.94753301369863,8161.0
-8.054906463414634,-34.95783082191781,7435.0
-8.054265975609756,-34.95399438356164,7437.0
-8.051543902439024,-34.950157945205476,8387.0
-8.053945731707318,-34.955811643835624,7602.0
-8.047060487804877,-34.95056178082192,9400.0
-8.050423048780488,-34.94753301369863,8773.0
-8.051223658536586,-34.958840410958906,8532.0
