lat_pred,lon_pred,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,idx
-8.047405358984935,-34.95063443766139,-79.95,-79.8742857142857,-83.32,-89.71,-92.1975,-90.61142857142859,-92.69,-99.03399999999999,-94.4075,9444.0
-8.04907991882837,-34.95445372281067,-76.7942857142857,-96.16357142857142,-79.4914285714286,-99.92,-95.93,-92.8842857142857,-80.0516666666667,-101.172666666667,-97.48,9029.0
-8.053918292969632,-34.9482413746985,-92.422619047619,-90.24214285714292,-93.28,-80.58,-87.1375,-86.91095238095241,-91.3383333333333,-88.63,-97255,7630.0
-8.056574901761719,-34.95517461435811,-95.2757142857143,-99.05142857142859,-92.62,-98.32,-91.8025,-90.84142857142858,-83.9966666666667,-68.10600000000001,-90.3025,6784.0
-8.051991228539293,-34.94761039800703,-91.2671428571429,-93.59,-91.55285714285708,-51.71,-83625,-77.36428571428571,-88.0066666666667,-96.78,-97.6,8136.0
-8.048429146463862,-34.9589179429294,-75.33,-92.5628571428571,-85.5328571428571,-102.96,-96.09,-95.8557142857143,-84.17,-106544,-86.96,9239.0
-8.055191344240283,-34.95235868627583,-96.20142857142858,-95.10285714285708,-94.43285714285707,-97395,-91.0225,-89.61,-102.17,-79992,-96.3725,7331.0
-8.055146470259578,-34.95364339389923,-85.12,-96.14,-88.81857142857142,-95.84,-90.03,-97.03,-84.8383333333333,-79574,-97.66,7361.0
-8.049693695160578,-34.95960660466521,-86.2,-94.0842857142857,-83.9585714285714,-94.96,-97.8975,-93.0942857142857,-82.5833333333333,-102.68799999999999,-89.52,8873.0
-8.056149632124903,-34.955050595772406,-95.22,-97.79142857142858,-89.72,-97.9533333333333,-90.9425,-83.77,-83.0883333333333,-76456,-94.4175,6878.0
-8.051526503842451,-34.95017743514118,-93.54142857142858,-93.79,-95.23,-73.78,-83.8825,-86.57,-93.5016666666667,-95.75399999999999,-97.2725,8400.0
-8.046718373953585,-34.95057540101528,-81.1742857142857,-72.76,-79.902619047619,-92.14513888888894,-94.1525,-93.15,-90.5533333333333,-98898,-94.4075,9563.0
-8.050505365555008,-34.953170365134376,-87.08,-92.26,-88.7,-95.85,-94.8225,-94.45,-92465,-96.34200000000001,-98.2875,8632.0
-8.048712890997855,-34.94703078612407,-96.8642857142857,-85.91857142857141,-97.42785714285708,-74.0,-96.4925,-90.45,-96175,-101.01,-96.3575,9105.0
-8.055385774119989,-34.9504163981125,-91.3957142857143,-92.89142857142859,-91.6666666666667,-85.97,-83.4025,-85.1071428571429,-88.9008333333333,-84508,-96.3725,7230.0
-8.050494772874965,-34.953838595498254,-84.95,-95.78642857142859,-89.41142857142859,-94.27,-97.4925,-96.48857142857142,-87.3533333333333,-98.04799999999999,-104.74,8716.0
-8.051960880426185,-34.95704593903672,-88.15285714285709,-97.58714285714292,-90.05,-100.38,-98.52,-93.42142857142859,-67.8783333333333,-95.63,-85.66,8124.0
-8.048510755352632,-34.95077500692364,-76.26,-86.27142857142859,-71.07,-80.01,-88.4125,-86.3576190476191,-92.46,-98012,-96.7925,9204.0
-8.056421514514698,-34.95071466065736,-91.21857142857141,-91.47857142857141,-91.9266666666666,-89.09,-87.40625,-78.4,-88.63,-90598,-95.73,6810.0
-8.051660427246622,-34.949425682995304,-98.47,-92.64857142857142,-90.48,-76.63,-81.01,-87.2828571428571,-91.8033333333333,-96.14200000000001,-97.7875,8330.0
-8.055278072749047,-34.95925824271497,-82.6742857142857,-100.28857142857099,-82.80571428571429,-95.72,-100225,-82.7714285714286,-81.66833333333331,-85.38,-64.33,7302.0
