rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delta_1_12,delta_1_13,delta_1_23,delta_2_12,delta_2_13,delta_2_23,delta_3_12,delta_3_13,delta_3_23,dist_1,dist_2,dist_3,ang_1,cos_1,sin_1,tg_1,ang_2,cos_2,sin_2,tg_2,ang_3,cos_3,sin_3,tg_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23,lon
-82.51,-95.78642857142859,-89.08,-94.77833333333332,-98.5125,-96.90142857142858,-86.5791666666667,-98.048,-98.1,13.276428571428582,6.569999999999991,-6.706428571428589,3.734166666666681,2.12309523809526,-1.611071428571421,11.468833333333304,11.520833333333302,0.0519999999999925,0.7948929338299271,1.039220335442956,0.7110125542285991,-165.87326252590432,-0.9697582250449924,-0.2440675827667121,0.2516787962849074,-74.56969079439142,0.266066082371323,-0.9639547913733176,-3.6229901338120127,39.92802228155874,0.7668513391980144,0.6418247607955085,0.8369611266073282,3,4,3,-1,0,1,-34.953767351829676
-90.45,-87.53142857142859,-77.75,-75.13,-90.8225,-87.9076190476191,-91.375,-98.012,-96.7925,-2.918571428571412,-12.700000000000005,-9.781428571428592,15.69250000000001,12.777619047619098,-2.9148809523809125,6.6370000000000005,5.417500000000004,-1.2194999999999965,0.5891429912413564,0.8278129984338234,1.0745677795837354,167.46465834682752,-0.976162315339451,0.21704177964420204,-0.2223418956392799,-55.21633506147282,0.5704794343558138,-0.8213118865431516,-1.4396871071620279,46.4031362619829,0.6895799029123698,0.7242096088145797,1.0502185544502602,3,4,5,-1,-2,-1,-34.95081921033702
-95.75714285714292,-95.67714285714293,-96.70142857142858,-83.52,-97.0275,-94.37857142857142,-97.8733333333333,-98.578,-98.9125,-0.0799999999999983,0.9442857142856552,1.0242857142856536,13.507500000000007,10.858571428571425,-2.648928571428584,0.7046666666666965,1.039166666666688,0.33449999999999136,0.9648041485997838,0.38975909551032745,1.227143362813699,150.19829774328144,-0.8677506878972938,0.4969997421063449,-0.5727448552194859,-57.375060831895674,0.5391374287144515,-0.8422178061280643,-1.5621579235118106,67.0298199872546,0.39025199243301983,0.9207080875076846,2.3592655652250354,4,2,5,2,-1,-3,-34.94764974236853
-88.5557142857143,-80.3157142857143,-87.0242857142857,-92.5083333333333,-92.04,-90.20142857142858,-90.0516666666667,-99.034,-94.4075,-8.240000000000009,-1.5314285714286058,6.7085714285714015,-0.4683333333332911,-2.3069047619047183,-1.8385714285714272,8.982333333333301,4.355833333333294,-4.626500000000006,0.4466653876972687,0.9064236814874536,1.2049866155863107,159.78749716849427,-0.9384176509703088,0.34550298457085343,-0.3681761358746917,-46.1285494910962,0.6930427041145005,-0.7208965322941017,-1.0401906376248344,41.89602856498765,0.7443578350008875,0.6677809621970303,0.8971235752442026,2,4,5,-2,-3,-1,-34.950625028778646
-102.25,-88.79476190476191,-97.515,-82.75,-98.645,-97.48303571428568,-96.5633333333333,-101.648,-96.56,-13.455238095238087,-4.734999999999999,8.720238095238088,15.894999999999996,14.733035714285677,-1.161964285714319,5.084666666666691,-0.00333333333330188,-5.087999999999994,0.7854333696055721,0.5520563066293975,1.4228535439914485,135.2082901736168,-0.7096726832138655,0.7045315342126515,-0.99275560533353,-27.441204279044946,0.8874842027564916,-0.4608381384582601,-0.5192634832562818,57.77619531911332,0.5332277979938358,0.8459716989631775,1.5865108723625791,3,2,6,1,-3,-4,-34.94695280510542
-91.0242857142857,-96.2,-96.28,-96.0116666666667,-91.935,-92.6557142857143,-77.0233333333333,-71.05199999999998,-96.16,5.175714285714307,5.255714285714305,0.0799999999999983,-4.076666666666696,-3.3559523809524023,0.7207142857142941,-5.9713333333333205,19.1366666666667,25.10800000000002,1.3725640471395562,1.1173539027462331,0.3825572379377535,-168.69929990671838,-0.9806122642206332,-0.1959581262925406,0.199832424539666,-105.49982458758998,-0.267235425899145,-0.9636312713608368,3.605926377906618,94.4765990461695,-0.0780519245367767,0.9969492951379748,-12.772898311664695,6,5,2,1,4,3,-34.95438448807333
-77.95,-90.59714285714293,-72.26,-96.4233333333333,-93.03,-96.6567857142857,-84.17,-106.544,-87.96,12.647142857142926,-5.689999999999998,-18.337142857142922,-3.3933333333333024,0.2334523809524001,3.626785714285704,22.373999999999995,3.789999999999992,-18.584000000000003,0.9392709220172256,1.6679463142349389,0.7986739237366172,-124.169604421767,-0.5616445301199597,-0.8273786447487809,1.4731357653782615,-71.8408042230758,0.3116582996285833,-0.9501942455480459,-3.0488334393161787,-9.132397797564618,0.9873242187014908,-0.15871637333775948,-0.16075405660209585,4,7,3,-3,1,4,-34.95901963113435
-86.44857142857141,-89.7328571428571,-92.0857142857143,-80.83,-82.0125,-80.41857142857141,-91.2483333333333,-94.64,-97.255,3.284285714285687,5.637142857142893,2.352857142857204,1.1825000000000043,-0.4114285714285871,-1.5939285714285916,3.3916666666666937,6.006666666666689,2.6149999999999958,1.2025233120584742,0.4155762543131791,1.0672967821528825,160.50846838949786,-0.9426908178766542,0.3336675319701405,-0.3539522456808304,-101.98025928564778,-0.20757466705762287,-0.9782191766653918,4.712613492444322,80.15468514085748,0.17098879854468893,0.9852729727198672,5.7622077066198,5,2,5,3,0,-3,-34.94837527538389
-91.7171428571429,-93.55,-97.03,-95.02,-84.895,-90.33,-90.2183333333333,-78.122,-95.78,1.832857142857094,5.312857142857097,3.480000000000004,-10.125,-4.689999999999999,5.435000000000002,-12.096333333333304,5.561666666666696,17.658,1.3103964100569765,0.8021839764168007,0.6999816705891158,177.8305867060473,-0.9992832669219548,0.037854358398806034,-0.037881509329588815,-109.0710809441096,-0.32674091066378763,-0.9451139493725604,2.892548556140468,89.456387985192,0.0094876771655473,0.9999549909780951,105.3951323943907,6,3,3,3,3,0,-34.9515171141546
-91.35,-90.4171428571429,-91.2857142857143,-80.77,-93.66,-86.4728571428571,-85.75,-96.142,-97.6,-0.9328571428570882,-0.0642857142856883,0.8685714285713999,12.89,5.7028571428570975,-7.187142857142903,10.391999999999996,11.849999999999996,1.4579999999999984,0.9611546545327424,0.5292551702151641,1.0274444089434596,162.0997860443085,-0.9515932561321102,0.3073601712712436,-0.3229953231494661,-75.47726843100035,0.2507640879340545,-0.9680482282420654,-3.8603941904816974,66.99883987970131,0.3907497667168256,0.9204969417715336,2.3557197474633766,4,2,4,2,0,-2,-34.94935172811103
