lat,lon,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-8.055540024755242,-34.95271887518955,-94.0242857142857,-92.7,-96.52,-77.19,-89.73,-93.72714285714292,-98.1016666666667,-98578,-97.6
-8.05164104183145,-34.95145905856664,-90.71,-95.3728571428571,-88.52,-96.72,-90.6525,-91.98142857142858,-89715,-78582,-97.69
-8.051398126597133,-34.950262250759394,-90.45,-96.2,-92.55285714285708,-96.58,-87.89,-92.0642857142857,-78.6366666666667,-68.34,-94.5675
-8.05371762124947,-34.951910627240906,-89.71142857142858,-95.3957142857143,-93.29,-93.35,-88.8325,-89.93428571428568,-90.9433333333333,-75.64,-95.5475
-8.05542300035013,-34.95013162016525,-93.69,-79.33,-92.9723809523809,-89.84,-100.9825,-101.76,-95.4916666666667,-101288,-94.4075
-8.056486216945588,-34.951179940703426,-89.2671428571429,-96.35,-92.25357142857142,-96.79,-90.9375,-97.85,-87.0581666666667,-83.32,-96.92
-8.052273106180175,-34.954650316787934,-91.4642857142857,-92.1657142857143,-86.34,-81.33,-71.09,-72.9,-86.23083333333332,-82.13,-96.3725
-8.05490359463294,-34.953834568619754,-79.95,-79.8742857142857,-83.32,-89.71,-92.1975,-90.61142857142859,-92.69,-99034,-94.4075
-8.054025249895187,-34.95174930363765,-76.7942857142857,-96.16357142857142,-79.4914285714286,-99.92,-95.93,-92.8842857142857,-80.0516666666667,-101.172666666667,-97.48
-8.056514384715348,-34.95181357563967,-92.422619047619,-90.24214285714292,-93.28,-80.58,-87.1375,-86.91095238095241,-91.3383333333333,-88.63,-97255
-8.050256250162123,-34.95083233588485,-95.2757142857143,-99.05142857142859,-92.62,-98.32,-91.8025,-90.84142857142858,-83.9966666666667,-68.10600000000001,-90.3025
-8.053625283704047,-34.949438403355,-91.2671428571429,-93.59,-91.55285714285708,-51.71,-83625,-77.36428571428571,-88.0066666666667,-96.78,-97.6
-8.052311172087656,-34.95137797095533,-75.33,-92.5628571428571,-85.5328571428571,-102.96,-96.09,-95.8557142857143,-84.17,-106544,-86.96
