rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3
-79.76,-77.82,-92.33,-93.6433333333333,-93.6175,-91.01428571428568,-90.0516666666667,-99034.0,-94.4075
-92.42875,-92.50714285714292,-92.9828571428571,-76.39,-82686.0,-85.34,-92.5783333333333,-96142.0,-97.7875
-95.2542857142857,-97.3871428571429,-94.6375,-97.41,-89.4,-92.62,-66.31,-57.25,-88.64
-86.78,-96.38,-91.8042857142857,-103.1,-90.1225,-102.73,-82.1766666666667,-81.34,-93.4
-91.21857142857141,-92.1571428571429,-91.9266666666666,-86.09,-84.96,-83.3814285714286,-91.6233333333333,-90598.0,-95.73
-91.21857142857141,-92.1571428571429,-91.9266666666666,-95.03,-85.8775,-84.6428571428571,-92.5,-88.53399999999998,-96.3725
-83.93625,-92.77,-81.9671428571429,-88.96,-90.4,-83.89,-88.3916666666667,-98012.0,-96.7925
-93.54285714285707,-100.12,-96.82,-72.08,-89.73,-93.7657142857143,-98.1016666666667,-98578.0,-97.6
-79.2,-98.7371428571429,-73.51,-96.4316666666667,-93.49,-93.6828571428572,-85815.0,-81.31,-94.5017857142857
-92.87619047619049,-98.7371428571429,-89.90285714285709,-103.37583333333299,-101.5175,-95.78,-78.3476666666667,-81.3505714285714,-91.5383333333333
-91.21857142857141,-88.84,-92.2171428571429,-92.5791666666667,-83105.0,-72.27,-92.54333333333332,-91892.0,-96.3725
-84.11142857142859,-95.6792857142857,-85.7114285714286,-100.36,-101.69,-96.90142857142858,-86.5791666666667,-98048.0,-99.62
-89.9357142857143,-99.41857142857141,-90.27285714285708,-108.64,-101565.0,-95.78,-66046.0,-88874.0,-91.58
-91.06857142857142,-90.42,-93.78,-69.77,-93.47,-85.53,-89.3683333333333,-96776.0,-98.9125
-88.09,-95.98857142857142,-88.65,-98.7883333333333,-89.5775,-89.59,-81.75,-73742.0,-94.01
-91.80142857142859,-93.04428571428568,-91.8728571428571,-95.9116666666667,-87.1308333333333,-84.17714285714291,-92.23,-79.59,-95.8575
-83.91,-95.68428571428568,-87.007619047619,-99.26,-98.2575,-92.7617857142857,-88.34,-99194.0,-84.66
-88.5857142857143,-99.5742857142857,-90.68428571428568,-96.4941666666667,-100225.0,-90.1242857142857,-62.601666666666695,-88874.0,-71.83
-89.9357142857143,-99.21,-90.27285714285708,-103.1225,-101565.0,-95.2242857142857,-63.55,-88874.0,-83.27
