idx,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,lat,lon,dist_1,dist_2,dist_3,ang_1,cos_1,sin_1,tg_1,ang_2,cos_2,sin_2,tg_2,ang_3,cos_3,sin_3,tg_3,delay_1,delay_2,delay_3,delay_12,delay_13,delay_23
7591,-91.95,-99.21,-90.27285714285708,-103.1225,-101.565,-95.2242857142857,-63.55,-89.0,-73.96,-8.05413,-34.9576,1.3356822248558622,1.4316223371857073,0.1357002080644744,-152.4743042071594,-0.8868036607241949,-0.4621463700237912,0.521137192472104,-95.49785829887016,-0.09580854480585456,-0.9953997803607276,10.389467686601392,14.104353654946676,0.9698535012487512,0.2436887074025765,0.25126341977299765,6,6,1,0,5,5
7592,-89.9357142857143,-99.21,-89.01,-103.37583333333299,-101.565,-95.78,-66.046,-88.874,-83.71,-8.05413,-34.957409999999996,1.32613309646839,1.4107765928369225,0.14226141760084235,-153.27676240187927,-0.8931890833845346,-0.4496812886063804,0.5034558717426512,-95.57932411966715,-0.09722375347657408,-0.9952625491597312,10.236824989476863,22.31309857670611,0.9251229454875786,0.3796676648496508,0.41039698204604586,6,6,1,0,5,5
7593,-89.9357142857143,-99.21,-87.45,-103.1225,-101.565,-95.2242857142857,-63.55,-88.874,-72.77,-8.05412,-34.9576,1.3347015596714142,1.4315168347966636,0.13677309370811255,-152.45236256407617,-0.8866266149402523,-0.4624859410615523,0.5216242477592646,-95.45379623878306,-0.09504302622461104,-0.995473165467592,10.473921180866377,13.991453094753671,0.9703318033655568,0.2417771523063049,0.2491695639241243,6,6,1,0,5,5
7594,-102.7,-99.21,-90.27285714285708,-103.37583333333299,-101.565,-95.2242857142857,-63.55,-88.874,-87.02,-8.05412,-34.95746,1.3276347892151918,1.4161553883277418,0.14129987026645607,-153.04285197154485,-0.8913458180813327,-0.4533239819256419,0.5085837311734349,-95.51311768539698,-0.0960736427810414,-0.9953742287013366,10.360533855990706,20.074766736380106,0.939245509961702,0.3432460808469379,0.3654487322073373,6,6,1,0,5,5
7595,-96.54,-96.6671428571429,-91.53,-96.315,-91.555,-90.18714285714279,-93.33,-86.544,-96.55,-8.05412,-34.95409,1.2055945391705851,1.047010126151487,0.4404415431440147,-168.98355339042638,-0.9815723717644298,-0.19109076112871584,0.1946782189735229,-97.46593896913073,-0.12993677788959995,-0.9915222810162508,7.630805512652406,72.4631666073073,0.30131884759713706,0.9535234407620682,3.1644998259017902,5,4,2,1,3,2
7596,-96.22,-96.6671428571429,-89.81,-99.6,-90.5525,-89.6957142857143,-91.3166666666667,-83.97,-95.455,-8.05412,-34.953559999999996,1.1958062944072323,0.9891131451781948,0.4964595681501537,-171.73221253604868,-0.9896067918720852,-0.143799852157919,0.14531009016812235,-97.90559130304086,-0.13754120588041446,-0.9904960457694728,7.2014494814787495,74.49524442864524,0.26731835684947863,0.9636082690031748,3.6047216523396575,5,4,2,1,3,2
7597,-83.9057142857143,-99.6357142857143,-84.66571428571429,-95.72,-100.225,-88.2328571428571,-78.955,-89.444,-56.27,-8.054110000000001,-34.95953,1.4445487998863682,1.6433290066962811,0.22403200813241594,-144.92913254647664,-0.8184419781665029,-0.5745891822640778,0.7020524332724098,-94.71067104520029,-0.08212412581176896,-0.996622108905704,12.135558206001393,-53.32113391362474,0.5973293662683062,-0.8019960275422214,-1.3426361950903711,6,7,1,-1,5,6
7598,-83.9057142857143,-99.6357142857143,-84.66571428571429,-95.72,-100.225,-88.2328571428571,-78.955,-89.444,-58.54,-8.054110000000001,-34.95949,1.4420198000850792,1.6389347791579532,0.2205116281335001,-145.07251263434532,-0.8198772973620024,-0.5725392713782861,0.6983231188623721,-94.72332409288894,-0.08234421518550525,-0.996603948529948,12.102901779861476,-52.636793322481935,0.6068655695619612,-0.7948044919854419,-1.309687897698886,6,7,1,-1,5,6
7599,-89.9357142857143,-99.21,-90.27285714285708,-103.37583333333299,-101.565,-95.2242857142857,-65.75,-88.874,-76.33,-8.054110000000001,-34.95751,1.3291585599799762,1.4215360607297218,0.14055672754444215,-152.80947397960585,-0.8894919432512757,-0.4569508539121789,0.5137211836252611,-95.44741238740673,-0.09493211078582002,-0.9954837489089156,10.486270037278162,17.80927403907845,0.9520798996582509,0.3058494150178069,0.3212434325392139,6,6,1,0,5,5
7600,-91.7,-99.3542857142857,-90.27285714285708,-103.1225,-101.565,-95.2242857142857,-63.55,-91.25,-76.83,-8.0541,-34.95758,1.3317211398374569,1.4291134646930344,0.13946163466151595,-152.4924440510492,-0.8869499318186431,-0.4618655848262613,0.5207346753826688,-95.37391503402559,-0.09365505553766143,-0.9956047059813636,10.63054952309544,14.65060303157992,0.9674861680792486,0.2529239304125489,0.26142382057479857,6,6,1,0,5,5
